Provincia,codigo,Nombre Centro
Jaén,23000817C,I.E.S. Santísima Trinidad
Jaén,23000830C,I.E.S. Andrés de Vandelvira
Jaén,23000842C,E.A. Gaspar Becerra
Jaén,23000143C,I.E.S. Hermanos Medina Rivilla
Jaén,23700840C,I.E.S. María Bellido
Jaén,23700611C,I.E.S. Bury Al-Hamma
Jaén,23700581C,I.E.S. Sierra de Segura
Jaén,23700621C,I.E.S. Accabe
Jaén,23700633C,I.E.S. Vera Cruz
Jaén,23700256C,I.E.S. Puerta de Arenas
Jaén,23700645C,I.E.S. Colegiata de Santiago
Jaén,23700657C,I.E.S. Pablo Rueda
Jaén,23001111C,I.E.S. Castillo de la Yedra
Jaén,23700268C,I.E.S. El Yelmo
Jaén,23700669C,I.E.S. Fuente de la Negra
Jaén,23700670C,I.E.S. Río de los Granados
Jaén,23004926C,I.E.S. Sierra Mágina
Jaén,23700682C,I.E.S. Picos del Guadiana
Jaén,23700694C,I.E.S. Pedro Pablo López de los Arcos
Jaén,23700700C,I.E.S. Mateo Francisco de Rivas
Jaén,23002401C,I.E.S. Virgen del Carmen
Jaén,23002413C,I.E.S. Santa Catalina de Alejandría
Jaén,23002449C,I.E.S. Las Fuentezuelas
Jaén,23002462C,E.A.S.D. José Nogué
Jaén,23002474C,I.E.S. Jabalcuz
Jaén,23005062C,I.E.S. Auringis
Jaén,23005529C,I.E.S. San Juan Bosco
Jaén,23005906C,I.E.S. Fuente de la Peña
Jaén,23600021C,I.P.E.P. Jaén
Jaén,23700271C,I.E.S. El Valle
Jaén,23700827C,I.E.S. Az-Zait
Jaén,23700839C,I.E.S. Santa Teresa
Jaén,23700724C,I.E.S. Sierra de la Grana
Jaén,23004240C,I.E.S. Juan López Morillas
Jaén,23001287C,I.E.S. Martín Halaja
Jaén,23005049C,I.E.S. Pablo de Olavide
Jaén,23700554C,I.E.S. Juan Pérez Creus
Jaén,23000210C,I.E.S. Puerta de la Sierra
Jaén,23002841C,I.E.S. Huarte de San Juan
Jaén,23002851C,I.E.S. Reyes de España
Jaén,23005141C,I.E.S. Cástulo
Jaén,23005979C,I.E.S. Himilce (CdA)
Jaén,23700281C,I.E.S. Oretania
Jaén,23700396C,S.I.P.E.P. Fanny Rubio
Jaén,23700888C,I.E.S. Santa Engracia (CdA)
Jaén,23700748C,I.E.S. Gamonares
Jaén,23700220C,I.E.S. La Pandera
Jaén,23005074C,I.E.S. Peña del Águila
Jaén,23005153C,I.E.S. Sierra Mágina
Jaén,23700293C,I.E.S. Virgen de la Cabeza
Jaén,23003119C,I.E.S. Fernando III
Jaén,23003132C,I.E.S. San Felipe Neri
Jaén,23700301C,I.E.S. María Cabeza Arellano Martínez
Jaén,23700578C,I.E.S. San Juan Bautista
Jaén,23700751C,I.E.S. Gandhi
Jaén,23700487C,I.E.S. Almicerán
Jaén,23700761C,I.E.S. Alhajar
Jaén,23700852C,I.E.S. Ntra. Sra. de Alharilla
Jaén,23005372C,I.E.S. Guadalentín
Jaén,23700773C,I.E.S. Valle del Guadalimar
Jaén,23700426C,I.E.S. Cañada de las Fuentes
Jaén,23700785C,I.E.S. Ruradia
Jaén,23700797C,I.E.S. Iulia Salaria
Jaén,23700414C,I.E.S. Villa de Santiago
Jaén,23700566C,I.E.S. Virgen del Collado
Jaén,23700323C,I.E.S. Doctor Francisco Marín
Jaén,23000180C,I.E.S. Torre Olvidada
Jaén,23003934C,I.E.S. Miguel Sánchez López
Jaén,23003983C,I.E.S. Santo Reino
Jaén,23700335C,I.E.S. Acebuche
Jaén,23700244C,I.E.S. Gil de Zático
Jaén,23004252C,I.E.S. San Juan de la Cruz
Jaén,23004264C,I.E.S. Los Cerros
Jaén,23004276C,E.A. Casa de las Torres
Jaén,23006029C,I.E.S. Francisco de los Cobos (CdA)
Jaén,23700347C,I.E.S. Sierra Sur
Jaén,23700359C,I.E.S. Abula
Jaén,23700864C,I.E.S. Sierra de las Villas
Jaén,23700803C,I.E.S. Juan de Barrionuevo Moya
Jaén,23700499C,I.E.S. Nieves López Pastor
Jaén,23700815C,I.E.S. Llano de la Viña
Málaga,29701209C,I.E.S. Jacobo Orellana Garrido
Málaga,29700680C,I.E.S. Trayamar
Málaga,29000311C,I.E.S. Valle del Genal
Málaga,29000062C,I.E.S. Capellanía
Málaga,29008802C,I.E.S. Galileo
Málaga,29700114C,I.E.S. Gerald Brenan
Málaga,29701210C,I.E.S. Huerta Alta
Málaga,29000529C,I.E.S. Antonio Gala
Málaga,29700692C,I.E.S. Fuente Lucena
Málaga,29700989C,I.E.S. Diego Gaitán
Málaga,29000694C,I.E.S. Las Flores
Málaga,29011229C,I.E.S. Valle del Sol
Málaga,29700618C,I.E.S. Serranía (CdA)
